||211.75.237.90||传入资料-json:[]传入资料-原始:
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625480044yqeg18g","p3_Amount":"30.00","p4_Cur":"1","p5_ProductName":"常熟市兴远,业务交易号:20181204162542001bab00020","p7_Mp":"/js/2088822473482334/D2018112214111499","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"569592708c123cabf41e8a66af8882f8"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625480044yqeg18g&p3_Amount=30.00&p4_Cur=1&p5_ProductName=%E5%B8%B8%E7%86%9F%E5%B8%82%E5%85%B4%E8%BF%9C%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162542001bab00020&p7_Mp=%2Fjs%2F2088822473482334%2FD2018112214111499&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=569592708c123cabf41e8a66af8882f8
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625490044yqeg18g","p3_Amount":"380.00","p4_Cur":"1","p5_ProductName":"清河县刚勇,业务交易号:20181204162537005bab00020","p7_Mp":"/js/2088222216829804/D2018112214107259","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"c60b36624fcc76569ebf97cf95955ff2"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625490044yqeg18g&p3_Amount=380.00&p4_Cur=1&p5_ProductName=%E6%B8%85%E6%B2%B3%E5%8E%BF%E5%88%9A%E5%8B%87%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162537005bab00020&p7_Mp=%2Fjs%2F2088222216829804%2FD2018112214107259&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=c60b36624fcc76569ebf97cf95955ff2
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625490044yqeg18g","p3_Amount":"300.00","p4_Cur":"1","p5_ProductName":"山西煤炭运,业务交易号:20181204162544007bab00020","p7_Mp":"/js/2088622852189173/D2018112214112273","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"b228b6ea53896fd8e4590767141c1002"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625490044yqeg18g&p3_Amount=300.00&p4_Cur=1&p5_ProductName=%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%90%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162544007bab00020&p7_Mp=%2Fjs%2F2088622852189173%2FD2018112214112273&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=b228b6ea53896fd8e4590767141c1002
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625500044yqeg18g","p3_Amount":"500.00","p4_Cur":"1","p5_ProductName":"泉州九十度,业务交易号:20181204162543003bab00020","p7_Mp":"/js/2088312774545181/D2018120214463570","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"3344ee493f27961a2a4e894e186e771f"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625500044yqeg18g&p3_Amount=500.00&p4_Cur=1&p5_ProductName=%E6%B3%89%E5%B7%9E%E4%B9%9D%E5%8D%81%E5%BA%A6%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162543003bab00020&p7_Mp=%2Fjs%2F2088312774545181%2FD2018120214463570&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=3344ee493f27961a2a4e894e186e771f
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625550044yqeg18g","p3_Amount":"500.00","p4_Cur":"1","p5_ProductName":"重庆泽良鸿,业务交易号:20181204162529004bab00020","p7_Mp":"/js/2088222304785490/D2018112214110761","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"563ec42ed47a248f3cc3456c678f134b"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625550044yqeg18g&p3_Amount=500.00&p4_Cur=1&p5_ProductName=%E9%87%8D%E5%BA%86%E6%B3%BD%E8%89%AF%E9%B8%BF%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162529004bab00020&p7_Mp=%2Fjs%2F2088222304785490%2FD2018112214110761&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=563ec42ed47a248f3cc3456c678f134b
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625550044yqeg18g","p3_Amount":"500.00","p4_Cur":"1","p5_ProductName":"沁源县务源,业务交易号:20181204162547006bab00020","p7_Mp":"/js/2088822661586440/D2018112214107790","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"9b421a13792bc1008a4c97de9fcf40e2"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625550044yqeg18g&p3_Amount=500.00&p4_Cur=1&p5_ProductName=%E6%B2%81%E6%BA%90%E5%8E%BF%E5%8A%A1%E6%BA%90%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162547006bab00020&p7_Mp=%2Fjs%2F2088822661586440%2FD2018112214107790&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=9b421a13792bc1008a4c97de9fcf40e2
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625560044yqeg18g","p3_Amount":"2000.00","p4_Cur":"1","p5_ProductName":"高益国际融,业务交易号:20181204162542001bab00020","p7_Mp":"/js/2088622488912253/D2018120214463350","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"2c6d01088143b8e0e923c1eff5ac2c0e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625560044yqeg18g&p3_Amount=2000.00&p4_Cur=1&p5_ProductName=%E9%AB%98%E7%9B%8A%E5%9B%BD%E9%99%85%E8%9E%8D%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162542001bab00020&p7_Mp=%2Fjs%2F2088622488912253%2FD2018120214463350&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=2c6d01088143b8e0e923c1eff5ac2c0e
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041626000044yqeg18g","p3_Amount":"700.00","p4_Cur":"1","p5_ProductName":"杭州独创进,业务交易号:20181204162543003bab00020","p7_Mp":"/js/2088232529792180/D2018120214453479","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"89b170972e8023e5647ef7c301db8c02"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041626000044yqeg18g&p3_Amount=700.00&p4_Cur=1&p5_ProductName=%E6%9D%AD%E5%B7%9E%E7%8B%AC%E5%88%9B%E8%BF%9B%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162543003bab00020&p7_Mp=%2Fjs%2F2088232529792180%2FD2018120214453479&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=89b170972e8023e5647ef7c301db8c02
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041712478194yqeg18g","p3_Amount":"50.00","p4_Cur":"1","p5_ProductName":"重庆兆雄科,业务交易号:20181204171204728bab00020","p7_Mp":"/js/2088822052036651/D2018112214112220","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"29e60667d36b3b8bb7cc371ae0c6af1f"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041712478194yqeg18g&p3_Amount=50.00&p4_Cur=1&p5_ProductName=%E9%87%8D%E5%BA%86%E5%85%86%E9%9B%84%E7%A7%91%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204171204728bab00020&p7_Mp=%2Fjs%2F2088822052036651%2FD2018112214112220&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=29e60667d36b3b8bb7cc371ae0c6af1f
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041729495454yqeg18g","p3_Amount":"30.00","p4_Cur":"1","p5_ProductName":"普洱市锦鹏,业务交易号:20181204172854796bab00020","p7_Mp":"/js/2088812928947312/D2018112614253570","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"b4c5b111a122e9672369e9360fcbd031"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041729495454yqeg18g&p3_Amount=30.00&p4_Cur=1&p5_ProductName=%E6%99%AE%E6%B4%B1%E5%B8%82%E9%94%A6%E9%B9%8F%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204172854796bab00020&p7_Mp=%2Fjs%2F2088812928947312%2FD2018112614253570&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=b4c5b111a122e9672369e9360fcbd031
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041907240984yqeg18g","p3_Amount":"1000.00","p4_Cur":"1","p5_ProductName":"青海骏安商,业务交易号:20181204190651071bab00020","p7_Mp":"/js/2088022000957283/D2018120214462716","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"f89fc21570ea9c81035e82a3beff8bda"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041907240984yqeg18g&p3_Amount=1000.00&p4_Cur=1&p5_ProductName=%E9%9D%92%E6%B5%B7%E9%AA%8F%E5%AE%89%E5%95%86%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204190651071bab00020&p7_Mp=%2Fjs%2F2088022000957283%2FD2018120214462716&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=f89fc21570ea9c81035e82a3beff8bda
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812042001310054yqeg18g","p3_Amount":"400.00","p4_Cur":"1","p5_ProductName":"北海高天建,业务交易号:20181204200107322bab00020","p7_Mp":"/js/2088422850780352/D2018120214463132","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"45f07965e155ddcd92035cc2b0b75625"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812042001310054yqeg18g&p3_Amount=400.00&p4_Cur=1&p5_ProductName=%E5%8C%97%E6%B5%B7%E9%AB%98%E5%A4%A9%E5%BB%BA%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204200107322bab00020&p7_Mp=%2Fjs%2F2088422850780352%2FD2018120214463132&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=45f07965e155ddcd92035cc2b0b75625
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109202984yqeg18g","p3_Amount":"384.00","p4_Cur":"1","p5_ProductName":"南阳天一发,业务交易号:20181204210906532bab00020","p7_Mp":"/js/2088412537861748/D2018112214113784","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"0ad20391589301013417c7598dc01c32"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109202984yqeg18g&p3_Amount=384.00&p4_Cur=1&p5_ProductName=%E5%8D%97%E9%98%B3%E5%A4%A9%E4%B8%80%E5%8F%91%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210906532bab00020&p7_Mp=%2Fjs%2F2088412537861748%2FD2018112214113784&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=0ad20391589301013417c7598dc01c32
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109234104yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"漳州市理昂,业务交易号:20181204210921625bab00020","p7_Mp":"D2018112214101464","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"7645e42ea82bea9df86ab48a3101d2ed"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109234104yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E6%BC%B3%E5%B7%9E%E5%B8%82%E7%90%86%E6%98%82%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210921625bab00020&p7_Mp=D2018112214101464&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=7645e42ea82bea9df86ab48a3101d2ed
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109249714yqeg18g","p3_Amount":"55.66","p4_Cur":"1","p5_ProductName":"甘孜州瑞鸿,业务交易号:20181204210921055bab00020","p7_Mp":"D2018112214109820","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"829bee01a5cd05d216998fc61ea7514c"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109249714yqeg18g&p3_Amount=55.66&p4_Cur=1&p5_ProductName=%E7%94%98%E5%AD%9C%E5%B7%9E%E7%91%9E%E9%B8%BF%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210921055bab00020&p7_Mp=D2018112214109820&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=829bee01a5cd05d216998fc61ea7514c
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109242694yqeg18g","p3_Amount":"500.00","p4_Cur":"1","p5_ProductName":"黑龙江常林,业务交易号:20181204210913617bab00020","p7_Mp":"/js/2088802578190770/D2018112214111981","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"08b9d82ac729c6983b075139e1a4c500"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109242694yqeg18g&p3_Amount=500.00&p4_Cur=1&p5_ProductName=%E9%BB%91%E9%BE%99%E6%B1%9F%E5%B8%B8%E6%9E%97%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210913617bab00020&p7_Mp=%2Fjs%2F2088802578190770%2FD2018112214111981&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=08b9d82ac729c6983b075139e1a4c500
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109245784yqeg18g","p3_Amount":"10.00","p4_Cur":"1","p5_ProductName":"武汉科航测,业务交易号:20181204210900300bab00020","p7_Mp":"/js/2088522742039710/D2018120214457914","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"c4e59c5e0f94690b581a8823f0b03604"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109245784yqeg18g&p3_Amount=10.00&p4_Cur=1&p5_ProductName=%E6%AD%A6%E6%B1%89%E7%A7%91%E8%88%AA%E6%B5%8B%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210900300bab00020&p7_Mp=%2Fjs%2F2088522742039710%2FD2018120214457914&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=c4e59c5e0f94690b581a8823f0b03604
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109240624yqeg18g","p3_Amount":"50.00","p4_Cur":"1","p5_ProductName":"福建省新慧,业务交易号:20181204210836546bab00020","p7_Mp":"/js/2088912425157633/D2018112214111866","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"2bf4782f9a3db028ba2948f58678dff5"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109240624yqeg18g&p3_Amount=50.00&p4_Cur=1&p5_ProductName=%E7%A6%8F%E5%BB%BA%E7%9C%81%E6%96%B0%E6%85%A7%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210836546bab00020&p7_Mp=%2Fjs%2F2088912425157633%2FD2018112214111866&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=2bf4782f9a3db028ba2948f58678dff5
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109253674yqeg18g","p3_Amount":"50.00","p4_Cur":"1","p5_ProductName":"湖南晓东电,业务交易号:20181204210900883bab00020","p7_Mp":"/js/2088422961410739/D2018112214098427","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"f12988653b9708c8539b06d3ca02b79e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109253674yqeg18g&p3_Amount=50.00&p4_Cur=1&p5_ProductName=%E6%B9%96%E5%8D%97%E6%99%93%E4%B8%9C%E7%94%B5%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210900883bab00020&p7_Mp=%2Fjs%2F2088422961410739%2FD2018112214098427&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=f12988653b9708c8539b06d3ca02b79e
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109269304yqeg18g","p3_Amount":"3000.00","p4_Cur":"1","p5_ProductName":"赤峰银桉机,业务交易号:20181204210908691bab00020","p7_Mp":"/js/2088522656698445/D2018112614257729","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"038fd9206ab9fdcbf774097d5c45ae7d"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109269304yqeg18g&p3_Amount=3000.00&p4_Cur=1&p5_ProductName=%E8%B5%A4%E5%B3%B0%E9%93%B6%E6%A1%89%E6%9C%BA%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210908691bab00020&p7_Mp=%2Fjs%2F2088522656698445%2FD2018112614257729&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=038fd9206ab9fdcbf774097d5c45ae7d
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109334384yqeg18g","p3_Amount":"98.00","p4_Cur":"1","p5_ProductName":"湖南华电常,业务交易号:20181204210926292bab00020","p7_Mp":"/js/2088122622279922/D2018112214103439","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"0a20de41d999fe7adbdafd8551cbc2e2"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109334384yqeg18g&p3_Amount=98.00&p4_Cur=1&p5_ProductName=%E6%B9%96%E5%8D%97%E5%8D%8E%E7%94%B5%E5%B8%B8%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210926292bab00020&p7_Mp=%2Fjs%2F2088122622279922%2FD2018112214103439&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=0a20de41d999fe7adbdafd8551cbc2e2
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109414714yqeg18g","p3_Amount":"200.00","p4_Cur":"1","p5_ProductName":"重庆汇诚源,业务交易号:20181204210919834bab00020","p7_Mp":"/js/2088022580951046/D2018112214098536","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"9e0d191937dc9b321fe158cca4583d28"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109414714yqeg18g&p3_Amount=200.00&p4_Cur=1&p5_ProductName=%E9%87%8D%E5%BA%86%E6%B1%87%E8%AF%9A%E6%BA%90%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210919834bab00020&p7_Mp=%2Fjs%2F2088022580951046%2FD2018112214098536&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=9e0d191937dc9b321fe158cca4583d28
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042109423794yqeg18g","p3_Amount":"20.00","p4_Cur":"1","p5_ProductName":"乌鲁木齐文,业务交易号:20181204210919218bab00020","p7_Mp":"/js/2088612930897173/D2018112214107308","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"baa6e9b270cc8b654635457083883b7f"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042109423794yqeg18g&p3_Amount=20.00&p4_Cur=1&p5_ProductName=%E4%B9%8C%E9%B2%81%E6%9C%A8%E9%BD%90%E6%96%87%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204210919218bab00020&p7_Mp=%2Fjs%2F2088612930897173%2FD2018112214107308&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=baa6e9b270cc8b654635457083883b7f
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000368","p2_OrderNo":"201812042111075204yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"上海芮豪石,业务交易号:20181204211047093bab00020","p7_Mp":"/js/2088812272098708/D2018112614264446","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"e27b854c571e96699217978a6427aa9e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000368&p2_OrderNo=201812042111075204yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E4%B8%8A%E6%B5%B7%E8%8A%AE%E8%B1%AA%E7%9F%B3%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204211047093bab00020&p7_Mp=%2Fjs%2F2088812272098708%2FD2018112614264446&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=e27b854c571e96699217978a6427aa9e
